b_global_replace_fallback_hits,b_span_hits_literal_equiv,b_span_safe_rewrite_hits,b_span_safe_rewrite_misses_bounds,b_span_safe_rewrite_misses_slice_mismatch,frozen_index,source_id
0,0,0,0,0,0,frozen:0
0,0,0,0,0,1,frozen:1
0,0,0,0,0,2,frozen:2
0,0,0,0,0,3,frozen:3
0,0,0,0,0,4,frozen:4
0,0,0,0,0,5,frozen:5
0,0,0,0,0,6,frozen:6
0,0,0,0,0,7,frozen:7
0,0,0,0,0,8,frozen:8
0,0,0,0,0,9,frozen:9
0,0,0,0,0,10,frozen:10
0,0,0,0,0,11,frozen:11
0,0,0,0,0,12,frozen:12
0,0,0,0,0,13,frozen:13
0,0,0,0,0,14,frozen:14
0,0,0,0,0,15,frozen:15
0,0,0,0,0,16,frozen:16
0,0,0,0,0,17,frozen:17
0,0,0,0,0,18,frozen:18
0,0,0,0,0,19,frozen:19
0,0,0,0,0,20,frozen:20
0,0,1,0,7,21,frozen:21
0,0,0,0,0,22,frozen:22
0,0,0,0,0,23,frozen:23
0,0,0,0,0,24,frozen:24
0,0,0,0,0,25,frozen:25
0,0,0,0,0,26,frozen:26
0,0,0,0,0,27,frozen:27
0,0,0,0,0,28,frozen:28
0,0,0,0,0,29,frozen:29
0,0,0,0,0,30,frozen:30
0,0,0,0,0,31,frozen:31
0,0,0,0,0,32,frozen:32
0,0,0,0,0,33,frozen:33
0,0,0,0,0,34,frozen:34
0,0,0,0,0,35,frozen:35
0,0,0,0,0,36,frozen:36
0,0,0,0,0,37,frozen:37
0,0,0,0,0,38,frozen:38
0,0,0,0,0,39,frozen:39
0,0,0,0,0,40,frozen:40
0,0,0,0,0,41,frozen:41
0,0,0,0,0,42,frozen:42
0,0,0,0,0,43,frozen:43
0,0,0,0,0,44,frozen:44
0,0,0,0,0,45,frozen:45
0,0,0,0,0,46,frozen:46
0,0,0,0,0,47,frozen:47
0,0,0,0,0,48,frozen:48
0,0,0,0,0,49,frozen:49
0,0,0,0,0,50,frozen:50
0,0,0,0,0,51,frozen:51
0,0,0,0,0,52,frozen:52
0,0,0,0,0,53,frozen:53
0,0,0,0,0,54,frozen:54
0,0,0,0,0,55,frozen:55
0,0,0,0,0,56,frozen:56
0,0,0,0,0,57,frozen:57
0,0,0,0,0,58,frozen:58
0,0,0,0,0,59,frozen:59
0,0,0,0,0,60,frozen:60
0,0,0,0,0,61,frozen:61
0,0,0,0,0,62,frozen:62
0,0,6,0,0,63,frozen:63
0,0,0,0,0,64,frozen:64
0,0,0,0,0,65,frozen:65
0,0,0,0,0,66,frozen:66
0,0,0,0,0,67,frozen:67
0,0,0,0,0,68,frozen:68
0,0,0,0,0,69,frozen:69
0,0,0,0,0,70,frozen:70
0,0,0,0,0,71,frozen:71
0,0,0,0,0,72,frozen:72
0,0,0,0,0,73,frozen:73
0,0,0,0,0,74,frozen:74
0,0,0,0,0,75,frozen:75
0,0,0,0,0,76,frozen:76
0,0,0,0,0,77,frozen:77
0,0,0,0,0,78,frozen:78
0,0,0,0,0,79,frozen:79
0,0,0,0,0,80,frozen:80
0,0,0,0,0,81,frozen:81
0,0,0,0,0,82,frozen:82
0,0,0,0,0,83,frozen:83
0,0,0,0,0,84,frozen:84
0,0,0,0,0,85,frozen:85
0,0,0,0,0,86,frozen:86
0,0,0,0,0,87,frozen:87
0,0,0,0,0,88,frozen:88
0,0,0,0,0,89,frozen:89
0,0,2,0,0,90,frozen:90
0,0,1,1,0,91,frozen:91
0,0,0,0,0,92,frozen:92
0,0,0,0,0,93,frozen:93
0,0,0,0,0,94,frozen:94
0,0,0,0,0,95,frozen:95
0,0,0,0,0,96,frozen:96
0,0,0,0,0,97,frozen:97
0,0,0,0,0,98,frozen:98
0,0,0,0,0,99,frozen:99
0,0,0,0,0,100,frozen:100
0,0,0,0,0,101,frozen:101
0,0,0,0,0,102,frozen:102
0,0,0,0,0,103,frozen:103
0,0,0,0,0,104,frozen:104
0,0,2,0,18,105,frozen:105
0,0,0,0,0,106,frozen:106
0,0,0,0,0,107,frozen:107
0,0,0,0,0,108,frozen:108
0,0,0,0,0,109,frozen:109
0,0,0,0,0,110,frozen:110
0,0,0,0,0,111,frozen:111
0,0,0,0,0,112,frozen:112
0,0,0,0,0,113,frozen:113
0,0,0,0,0,114,frozen:114
0,0,0,0,0,115,frozen:115
0,0,0,0,0,116,frozen:116
0,0,0,0,0,117,frozen:117
0,0,0,0,0,118,frozen:118
0,0,0,0,0,119,frozen:119
0,0,0,0,0,120,frozen:120
0,0,0,0,0,121,frozen:121
0,0,0,0,0,122,frozen:122
0,0,0,0,0,123,frozen:123
0,0,0,0,0,124,frozen:124
0,0,0,0,0,125,frozen:125
0,0,0,0,0,126,frozen:126
0,0,0,0,0,127,frozen:127
0,0,0,0,0,128,frozen:128
0,0,0,0,0,129,frozen:129
0,0,0,0,0,130,frozen:130
0,0,0,0,0,131,frozen:131
0,,12,1,25,-1,__corpus__
