after_s2_before_true,b_hdbscan_noise_points,b_hdbscan_noise_singleton_residual,clustering_backend_note,fast_after_true,fast_delta_true,fast_effective_total_reduction_pct,frozen_index,hdbscan_actually_used,hdbscan_runtime_available,old_after_true,old_delta_true,old_effective_total_reduction_pct,rewrite_a_intro_true,rewrite_a_net_true,rewrite_a_saved_true,rewrite_after_true,rewrite_b_intro_true,rewrite_b_net_true,rewrite_b_saved_true,rewrite_delta_true,rewrite_effective_total_reduction_pct,rewrite_net_true,route_initial_comments,route_initial_delete_now,route_initial_docstrings,route_initial_reference,route_initial_retain_for_b,route_profile,source_id
2474,0,0,,2474,0,0.000000,0,,,2436,38,1.535974,0,0,0,2474,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:0
372,0,0,,372,0,0.000000,1,,,372,0,0.000000,0,0,0,372,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:1
5694,0,0,,5658,36,0.632244,2,,,5694,0,0.000000,0,0,0,5694,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:2
379,0,0,,379,0,0.000000,3,,,379,0,0.000000,0,0,0,379,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:3
155,0,0,,149,6,3.870968,4,,,155,0,0.000000,0,0,0,155,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:4
239,0,0,,239,0,0.000000,5,,,239,0,0.000000,0,0,0,239,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:5
437,0,0,,437,0,0.000000,6,,,416,21,4.805492,0,0,0,437,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:6
115,0,0,,115,0,0.000000,7,,,115,0,0.000000,0,0,0,115,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:7
2862,1,1,lexical_jaccard_fallback_explicit,2862,0,0.000000,8,False,False,2862,0,0.000000,0,0,0,2862,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:8
239,0,0,,239,0,0.000000,9,,,239,0,0.000000,0,0,0,236,0,0,0,3,1.255230,0,1,1,0,0,0,rewrite_recovery_v2,frozen:9
228,0,0,,202,26,11.403509,10,,,202,26,11.403509,0,0,0,228,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:10
92,0,0,,92,0,0.000000,11,,,92,0,0.000000,0,0,0,92,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:11
732,1,1,lexical_jaccard_fallback_explicit,732,0,0.000000,12,False,False,732,0,0.000000,0,0,0,732,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:12
584,1,1,lexical_jaccard_fallback_explicit,552,32,5.479452,13,False,False,540,44,7.534247,0,0,0,584,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:13
2675,0,0,,2637,38,1.420561,14,,,2675,0,0.000000,0,0,0,2675,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:14
4828,1,1,lexical_jaccard_fallback_explicit,4828,0,0.000000,15,False,False,4828,0,0.000000,0,0,0,4828,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:15
146,1,1,lexical_jaccard_fallback_explicit,146,0,0.000000,16,False,False,146,0,0.000000,0,0,0,146,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:16
897,1,1,lexical_jaccard_fallback_explicit,873,24,2.675585,17,False,False,887,10,1.114827,0,0,0,897,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:17
279,0,0,,279,0,0.000000,18,,,279,0,0.000000,0,0,0,279,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:18
1169,0,0,,1169,0,0.000000,19,,,1169,0,0.000000,0,0,0,1169,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:19
1082,0,0,,1082,0,0.000000,20,,,1082,0,0.000000,0,0,0,1082,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:20
142,0,0,lexical_jaccard_fallback_explicit,142,0,0.000000,21,False,False,142,0,0.000000,0,0,0,170,39,15,54,-28,-19.718310,15,0,0,0,4,0,rewrite_recovery_v2,frozen:21
