translation_unit,ai_name,strategy,total_cpp_count,success_file_count
CircuitBreakerExecutor,deepseek-v3.2,class,13,1
CircuitBreakerExecutor,qwen-3.5plus,class,13,1
CircuitBreakerExecutor,ChatGPT-5.1,class,13,1
Cookie,deepseek-v3.2,class,7,2
Cookie,qwen-3.5plus,class,7,1
Cookie,ChatGPT-5.1,class,7,2
EnableJUnit4MigrationSupport,deepseek-v3.2,class,22,2
EnableJUnit4MigrationSupport,qwen-3.5plus,class,22,4
EnableJUnit4MigrationSupport,ChatGPT-5.1,class,22,2
CircuitBreakerExecutor,deepseek-v3.2,method,13,1
CircuitBreakerExecutor,qwen-3.5plus,method,13,1
CircuitBreakerExecutor,ChatGPT-5.1,method,13,1
Cookie,deepseek-v3.2,method,7,2
Cookie,qwen-3.5plus,method,7,2
Cookie,ChatGPT-5.1,method,7,3
EnableJUnit4MigrationSupport,deepseek-v3.2,method,22,3
EnableJUnit4MigrationSupport,qwen-3.5plus,method,22,2
EnableJUnit4MigrationSupport,ChatGPT-5.1,method,22,3
