translate_unit,ai_name,strategy,file_count,Language Syntax Violation,Type Error,Declaration Mismatch,Undefined Symbols,Duplicated Definitions,Header File Error,all
CircuitBreakerExecutor,qwen-3.5plus,class,13,6,2,0,9,0,14,32
CircuitBreakerExecutor,deepseek-v3.2,class,13,3,4,0,14,0,13,36
CircuitBreakerExecutor,ChatGPT-5.1,class,13,5,2,1,15,2,12,37
CircuitBreakerExecutor,qwen-3.5plus,method,13,5,3,0,15,0,16,39
CircuitBreakerExecutor,deepseek-v3.2,method,13,7,3,0,12,0,11,33
CircuitBreakerExecutor,ChatGPT-5.1,method,13,9,2,0,10,0,14,35
Cookie,qwen-3.5plus,class,7,1,2,0,2,0,5,10
Cookie,deepseek-v3.2,class,7,2,1,0,4,1,2,10
Cookie,ChatGPT-5.1,class,7,0,3,0,4,0,4,11
Cookie,qwen-3.5plus,method,7,1,4,0,6,0,2,13
Cookie,deepseek-v3.2,method,7,0,1,0,2,0,3,6
Cookie,ChatGPT-5.1,method,7,0,3,0,1,0,3,7
EnableJUnit4MigrationSupport,qwen-3.5plus,class,20,15,5,0,6,1,10,37
EnableJUnit4MigrationSupport,deepseek-v3.2,class,20,7,10,0,12,4,17,50
EnableJUnit4MigrationSupport,ChatGPT-5.1,class,20,7,6,0,14,0,19,46
EnableJUnit4MigrationSupport,qwen-3.5plus,method,21,5,11,1,18,2,17,54
EnableJUnit4MigrationSupport,deepseek-v3.2,method,20,4,11,0,11,2,13,42
EnableJUnit4MigrationSupport,ChatGPT-5.1,method,20,8,12,0,15,3,11,49
