translate_unit,ai_name,strategy,SYNTAX_LANGUAGE_ERROR,TYPE_SYSTEM_ERROR,DECLARE_DEFINITION_MISMATCH,MISSING_UNDEFINED_SYMBOLS,INHERITANCE_VIRTUAL_ERROR,CONSTRUCTOR_DESTRUCTOR_ERROR,TEMPLATE_ERROR,ACCESS_SCOPE_ERROR,REDEFINITION_ERROR,BUILD_INCLUDE_ERROR,OTHER_ERROR
Cookie,deepseek-v3.2,class,0.012,0.084,0.012,0.157,0.060,0.000,0.000,0.000,0.000,0.614,0.000
Cookie,deepseek-v3.2,method,0.000,0.101,0.013,0.051,0.000,0.000,0.000,0.000,0.000,0.772,0.000
Cookie,qwen-3.5plus,class,0.232,0.832,0.000,0.232,0.000,0.042,0.000,0.000,0.000,0.200,0.000
Cookie,qwen-3.5plus,method,0.171,0.354,0.000,0.220,0.000,0.012,0.000,0.000,0.122,0.585,0.000
Cookie,ChatGPT-5.1,class,0.000,0.060,0.012,0.048,0.060,0.000,0.000,0.000,0.000,0.627,0.000
Cookie,ChatGPT-5.1,method,0.161,0.161,0.008,0.314,0.017,0.000,0.000,0.000,0.085,0.500,0.008
CircuitBreakerExecutor,deepseek-v3.2,class,0.068,0.055,0.000,1.315,0.123,0.000,0.000,0.000,0.068,0.356,0.014
CircuitBreakerExecutor,deepseek-v3.2,method,0.047,0.016,0.000,0.473,0.000,0.000,0.039,0.000,0.031,0.589,0.000
CircuitBreakerExecutor,qwen-3.5plus,class,0.222,2.889,0.111,0.000,0.500,0.000,0.222,0.056,0.556,0.444,0.000
CircuitBreakerExecutor,qwen-3.5plus,method,0.203,0.285,0.057,0.602,0.024,0.016,0.033,0.016,0.024,0.374,0.000
CircuitBreakerExecutor,ChatGPT-5.1,class,0.016,0.033,0.000,0.115,0.000,0.000,0.000,0.000,0.000,1.000,0.000
CircuitBreakerExecutor,ChatGPT-5.1,method,0.027,0.009,0.000,0.402,0.000,0.009,0.000,0.000,0.000,0.732,0.018
EnableJUnit4MigrationSupport,deepseek-v3.2,class,0.020,0.033,0.000,0.144,0.170,0.000,0.000,0.000,0.000,0.771,0.000
EnableJUnit4MigrationSupport,deepseek-v3.2,method,0.134,0.134,0.008,0.402,0.016,0.024,0.000,0.024,0.063,0.543,0.000
EnableJUnit4MigrationSupport,qwen-3.5plus,class,0.023,0.156,0.016,0.359,0.047,0.000,0.023,0.000,0.078,0.555,0.000
EnableJUnit4MigrationSupport,qwen-3.5plus,method,0.013,0.199,0.007,0.338,0.000,0.033,0.000,0.000,0.106,0.364,0.000
EnableJUnit4MigrationSupport,ChatGPT-5.1,class,0.234,0.194,0.218,0.323,0.016,0.016,0.226,0.016,0.065,0.435,0.000
EnableJUnit4MigrationSupport,ChatGPT-5.1,method,0.020,0.033,0.013,0.093,0.000,0.000,0.007,0.000,0.040,0.510,0.000
RateLimiterExecutor,deepseek-v3.2,class,0.038,0.205,0.000,1.205,0.013,0.000,0.000,0.000,0.244,0.846,0.000
RateLimiterExecutor,deepseek-v3.2,method,0.066,0.007,0.000,0.836,0.000,0.000,0.007,0.000,0.132,0.691,0.000
RateLimiterExecutor,qwen-3.5plus,class,0.038,0.115,0.077,0.077,0.077,0.000,0.038,0.154,0.000,0.192,0.000
RateLimiterExecutor,qwen-3.5plus,method,0.088,0.404,0.035,1.184,0.053,0.009,0.035,0.018,0.009,0.351,0.000
RateLimiterExecutor,ChatGPT-5.1,class,0.038,0.000,0.000,0.654,0.000,0.000,0.000,0.000,0.000,0.596,0.000
RateLimiterExecutor,ChatGPT-5.1,method,0.000,0.036,0.000,0.468,0.000,0.000,0.000,0.000,0.000,0.748,0.000
