strategy,ai_name,level,Language Syntax Violation,Type Error,Declaration Mismatch,Undefined Symbols,Duplicated Definitions,Header File Error
class,ChatGPT-5.1,class,0.07058823529411765,0.06470588235294118,0.0058823529411764705,0.19411764705882353,0.011764705882352941,0.20588235294117646
class,ChatGPT-5.1,method,0.041176470588235294,0.052941176470588235,0.0,0.3235294117647059,0.0,0.029411764705882353
class,deepseek-v3.2,class,0.06666666666666667,0.08333333333333333,0.0,0.16666666666666666,0.027777777777777776,0.17777777777777778
class,deepseek-v3.2,method,0.027777777777777776,0.10555555555555556,0.005555555555555556,0.25555555555555554,0.044444444444444446,0.03888888888888889
class,qwen-3.5plus,class,0.15602836879432624,0.06382978723404255,0.0,0.12056737588652482,0.0070921985815602835,0.20567375886524822
class,qwen-3.5plus,method,0.028368794326241134,0.1276595744680851,0.0,0.2198581560283688,0.04964539007092199,0.02127659574468085
method,ChatGPT-5.1,class,0.08900523560209424,0.08900523560209424,0.0,0.13612565445026178,0.015706806282722512,0.14659685863874344
method,ChatGPT-5.1,method,0.031413612565445025,0.06806282722513089,0.0,0.31413612565445026,0.03664921465968586,0.07329842931937172
method,deepseek-v3.2,class,0.07096774193548387,0.0967741935483871,0.0,0.16129032258064516,0.012903225806451613,0.17419354838709677
method,deepseek-v3.2,method,0.03870967741935484,0.11612903225806452,0.0,0.32903225806451614,0.0,0.0
method,qwen-3.5plus,class,0.051643192488262914,0.08450704225352113,0.004694835680751174,0.18309859154929578,0.009389671361502348,0.1643192488262911
method,qwen-3.5plus,method,0.056338028169014086,0.13615023474178403,0.004694835680751174,0.27230046948356806,0.03286384976525822,0.0
