Project,File,Method,Err_-1,Err_0,Err_1,Err_2,Err_3,Err_4,Err_5,Err_6,Err_7,Err_8,Err_9,Err_10,Err_11
Cookie,Cookie.txt,,,None,,,,,,,,,,,
Cookie,Cookie.txt,Cookie,,None,,,,,,,,,,,
Cookie,Cookie.txt,getComment,,None,,,,,,,,,,,
Cookie,Cookie.txt,setComment,,None,,,,,,,,,,,
Cookie,Cookie.txt,getExpiryDate,,None,,,,,,,,,,,
Cookie,Cookie.txt,setExpiryDate,,None,,,,,,,,,,,
Cookie,Cookie.txt,isPersistent,,None,,,,,,,,,,,
Cookie,Cookie.txt,getDomain,,None,,,,,,,,,,,
Cookie,Cookie.txt,setDomain,,None,,,,,,,,,,,
Cookie,Cookie.txt,getPath,,None,,,,,,,,,,,
Cookie,Cookie.txt,setPath,,None,,,,,,,,,,,
Cookie,Cookie.txt,getSecure,,None,,,,,,,,,,,
Cookie,Cookie.txt,setSecure,,None,,,,,,,,,,,
Cookie,Cookie.txt,getVersion,,None,,,,,,,,,,,
Cookie,Cookie.txt,setVersion,,None,,,,,,,,,,,
Cookie,Cookie.txt,isExpired,,None,,,,,,,,,,,
Cookie,Cookie.txt,setPathAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,isPathAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,setDomainAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,isDomainAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,hashCode,,,,LangUtils::hashCode lacks an overload for std::string.,,,,,,,,,
Cookie,Cookie.txt,equals,,None,,,,,,,,,,,
Cookie,Cookie.txt,toExternalForm,,None,,,,,,,,,,,
Cookie,Cookie.txt,toString,,None,,,,,,,,,,,
Cookie,Cookie.txt,compare,,None,,,,,,,,,,,
Cookie,Cookie.txt,invalid_argument,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,transform,error: no comment found,,,,,,,,,,,,
Cookie,CookiePolicy.txt,,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,registerCookieSpec,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,unregisterCookieSpec,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,getCookieSpec,,,,,,,,,,,,,Casting type_info::hash_code() to a pointer is undefined behavior.
Cookie,CookiePolicy.txt,getDefaultSpec,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,getRegisteredCookieSpecs,,,,,,,,,,,,,Dynamically allocated array is not freed.
Cookie,CookiePolicy.txt,invalid_argument,error: no comment found,,,,,,,,,,,,
Cookie,CookiePolicy.txt,runtime_error,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,,error: no overall comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,parse,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,parseAttribute,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,validate,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,setValidDateFormats,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,getValidDateFormats,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,match,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,domainMatch,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,pathMatch,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,formatCookie,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,formatCookies,error: no comment found,,,,,,,,,,,,
Cookie,CookieSpec.txt,formatCookieHeader,error: no comment found,,,,,,,,,,,,
Cookie,Header.txt,,,None,,,,,,,,,,,
Cookie,Header.txt,Header,,None,,,,,,,,,,,
Cookie,Header.txt,toExternalForm,,None,,,,,,,,,,,
Cookie,Header.txt,toString,,None,,,,,,,,,,,
Cookie,Header.txt,getValues,,,,"HeaderElement::parse returns std::vector<HeaderElement>, but getValues() declares HeaderElement*.",,,,,,,,,
Cookie,Header.txt,getElements,,None,,,,,,,,,,,
Cookie,Header.txt,isAutogenerated,,None,,,,,,,,,,,
Cookie,Header.txt,parse,error: no comment found,,,,,,,,,,,,
Cookie,Header.txt,parseElements,error: no comment found,,,,,,,,,,,,
Cookie,HeaderElement.txt,,,,,,<cstring> is not included.,,,,,,,,
Cookie,HeaderElement.txt,HeaderElement,,None,,,,,,,,,,,
Cookie,HeaderElement.txt,getParameters,,None,,,,,,,,,,,
Cookie,HeaderElement.txt,parseElements,,None,,,,,,,,,,,
Cookie,HeaderElement.txt,parse,,None,,,,,,,,,,,
Cookie,HeaderElement.txt,getParameterByName,,None,,,,,,,,,,,
Cookie,LangUtils.txt,,,None,,,,,,,,,,,
Cookie,LangUtils.txt,hashCode,,None,,,,,,,,,,,
Cookie,LangUtils.txt,equals,,,,,,,,,,,,Compares pointer addresses instead of object content.,
Cookie,Log.txt,,error: no overall comment found,,,,,,,,,,,,
Cookie,Log.txt,isDebugEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,isErrorEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,isFatalEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,isInfoEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,isTraceEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,isWarnEnabled,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,trace,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,debug,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,info,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,warn,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,error,error: no comment found,,,,,,,,,,,,
Cookie,Log.txt,fatal,error: no comment found,,,,,,,,,,,,
Cookie,LogFactory.txt,,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getAttribute,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getAttributeNames,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getInstance,,None,,,,,,,,,,,
Cookie,LogFactory.txt,release,,None,,,,,,,,,,,
Cookie,LogFactory.txt,removeAttribute,,None,,,,,,,,,,,
Cookie,LogFactory.txt,setAttribute,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getFactory,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getLog,,None,,,,,,,,,,,
Cookie,LogFactory.txt,releaseAll,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getContextClassLoader,,,,,,,,,,,LogConfigurationException is not part of the standard C++ library and must be user-defined.,,
Cookie,LogFactory.txt,newFactory,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getCachedFactory,,None,,,,,,,,,,,
Cookie,LogFactory.txt,cacheFactory,,None,,,,,,,,,,,
Cookie,LogFactory.txt,getResourceAsStream,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,NameValuePair,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,setName,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,getName,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,setValue,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,getValue,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,toString,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,equals,,None,,,,,,,,,,,
Cookie,NameValuePair.txt,hashCode,,,,LangUtils::hashCode lacks an overload for std::string.,,,,,,,,,
Cookie,ParameterParser.txt,,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,hasChar,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,getToken,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,isOneOf,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,parseToken,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,parseQuotedToken,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,ParameterParser,error: no comment found,,,,,,,,,,,,
Cookie,ParameterParser.txt,parse,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,string,,None,,,,,,,,,,,
Cookie,ParameterParser.txt,find,error: no comment found,,,,,,,,,,,,
EnableJUnit4MigrationSupport,AfterEachCallback.txt,,,,,,,,,,,,Non-existent header file API.h included,,
EnableJUnit4MigrationSupport,AfterEachCallback.txt,afterEach,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,BeforeEachCallback.txt,,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,BeforeEachCallback.txt,beforeEach,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClassFilter.txt,,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClassFilter.txt,of,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClassFilter.txt,match,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClassFilter.txt,ClassFilter,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClasspathScanner.txt,,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClasspathScanner.txt,scanForClassesInPackage,,,,,,,,,,,Non-existent class Class,,
EnableJUnit4MigrationSupport,ClasspathScanner.txt,scanForClassesInClasspathRoot,,,,,,,,,,,Non-existent class Class,,
EnableJUnit4MigrationSupport,ClasspathScanner.txt,scanForResourcesInPackage,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ClasspathScanner.txt,scanForResourcesInClasspathRoot,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,enabled,,,,,,,,Function name conflicts with member variable name,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,disabled,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,isDisabled,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,getReason,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,toString,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ConditionEvaluationResult.txt,ConditionEvaluationResult,,,,,,,,Function name conflicts with member variable name,,,,,
EnableJUnit4MigrationSupport,DefaultResource.txt,,,,,,,,,,,,Non-existent header files included,,
EnableJUnit4MigrationSupport,DefaultResource.txt,DefaultResource,,,,,,,,,,,Non-existent class URI included,,
EnableJUnit4MigrationSupport,DefaultResource.txt,getName,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,DefaultResource.txt,getUri,,,,,,,,,,,Non-existent class URI included,,
EnableJUnit4MigrationSupport,DefaultResource.txt,equals,,,,,,,,,,,Non-existent class Object included,,
EnableJUnit4MigrationSupport,DefaultResource.txt,hashCode,,,,,,,,,,,Non-existent class Object included,,
EnableJUnit4MigrationSupport,DefaultResource.txt,hash,error: no comment found,,,,,,,,,,,,
EnableJUnit4MigrationSupport,DefaultResource.txt,toString,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,throwAsUncheckedException,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,readStackTrace,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,pruneStackTrace,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,findNestedThrowables,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,STACK_TRACE_ELEMENT_FILTER,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExceptionUtils.txt,throwAs,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExecutionCondition.txt,,,,,,,,,,,,Non-existent header file API.h included,,
EnableJUnit4MigrationSupport,ExecutionCondition.txt,evaluateExecutionCondition,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExecutionMode.txt,,,,,,,,,,,,Non-existent header file API.h included,,
EnableJUnit4MigrationSupport,ExecutionMode.txt,error: no method found,error: no method found,,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExpectedExceptionAdapter.txt,,,,,,,,,,,,Non-existent header files included,,
EnableJUnit4MigrationSupport,ExpectedExceptionAdapter.txt,ExpectedExceptionAdapter,,,Non-existent member method included,,,,,,,,,,
EnableJUnit4MigrationSupport,ExpectedExceptionAdapter.txt,handleTestExecutionException,,,Non-existent member method included,,,,,,,,,,
EnableJUnit4MigrationSupport,ExpectedExceptionAdapter.txt,after,,,Non-existent member method included,,,,,,,,,,
EnableJUnit4MigrationSupport,ExpectedExceptionSupport.txt,,,,,,,,,,,,Non-existent header files included,,
EnableJUnit4MigrationSupport,ExpectedExceptionSupport.txt,ExpectedExceptionSupport,,,,,,,,,,,Non-existent class ExpectedException included,,
EnableJUnit4MigrationSupport,ExpectedExceptionSupport.txt,getStore,,,,,,,,,,,Non-existent class Store included,,
EnableJUnit4MigrationSupport,ExpectedExceptionSupport.txt,handleTestExecutionException,,None,,,,,,,,,,,
EnableJUnit4MigrationSupport,ExpectedExceptionSupport.txt,afterEach,,None,,,,,,,,,,,
