Project,File,Method,Err_-1,Err_0,Err_1,Err_2,Err_3,Err_4,Err_5,Err_6,Err_7,Err_8,Err_9,Err_10,Err_11
Cookie,Cookie.txt,,,None,,,,,,,,,,,
Cookie,Cookie.txt,getComment,,None,,,,,,,,,,,
Cookie,Cookie.txt,setComment,,None,,,,,,,,,,,
Cookie,Cookie.txt,getExpiryDate,,None,,,,,,,,,,,
Cookie,Cookie.txt,setExpiryDate,,None,,,,,,,,,,,
Cookie,Cookie.txt,isPersistent,,None,,,,,,,,,,,
Cookie,Cookie.txt,getDomain,,None,,,,,,,,,,,
Cookie,Cookie.txt,setDomain,,,,"应使用字符':',而非字符串"":""。",,,,,,,,,
Cookie,Cookie.txt,getPath,,None,,,,,,,,,,,
Cookie,Cookie.txt,setPath,,None,,,,,,,,,,,
Cookie,Cookie.txt,getSecure,,None,,,,,,,,,,,
Cookie,Cookie.txt,setSecure,,None,,,,,,,,,,,
Cookie,Cookie.txt,getVersion,,None,,,,,,,,,,,
Cookie,Cookie.txt,setVersion,,None,,,,,,,,,,,
Cookie,Cookie.txt,isExpired,,None,,,,,,,,,,,
Cookie,Cookie.txt,setPathAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,isPathAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,setDomainAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,isDomainAttributeSpecified,,None,,,,,,,,,,,
Cookie,Cookie.txt,equals,,None,,,,,,,,,,,
Cookie,Cookie.txt,toExternalForm,,,,,,,,,,,,,返回CookieSpec*，但用std::unique_ptr接收。
Cookie,Cookie.txt,registerCookieSpec,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,invalid_argument,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,unregisterCookieSpec,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getCookieSpec,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,transform,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,create,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,logic_error,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getDefaultPolicy,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,setDefaultPolicy,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getSpecByPolicy,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getDefaultSpec,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getSpecByVersion,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getCompatibilitySpec,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,getRegisteredCookieSpecs,error: no comment found,,,,,,,,,,,,
Cookie,Cookie.txt,hashCode,,,,,,,,,,,,使用LangUtils::HASH_SEED，但LangUtils中未定义此常量。,
Cookie,Cookie.txt,compare,,,,Cookie::compare是成员函数但接受两个const Cookie&参数，不符合常规比较函数设计。,,,,,,,,,
Cookie,Cookie.txt,toString,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,registerCookieSpec,,,,,,,,,,,,,引用不能为nullptr，此检查无效且会导致未定义行为。
Cookie,CookiePolicy.txt,unregisterCookieSpec,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,getCookieSpec,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,getDefaultPolicy,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,setDefaultPolicy,,None,,,,,,,,,,,
Cookie,CookiePolicy.txt,getSpecByPolicy,,,,,,,,,,,,,返回new分配的CookieSpec*指针，但未提供内存释放机制，导致内存泄漏。
Cookie,CookiePolicy.txt,getDefaultSpec,,,,,,,,,,,,,返回new分配的CookieSpec*指针，但未提供内存释放机制，导致内存泄漏。
