"S Chakraborty, R Krishna, Y Ding… - IEEE Transactions on …, 2021 -  ?CCF A",Deep learning based vulnerability detection: Are we there yet
"Y Chen, SL Klein, BT Garibaldi, H Li, C Wu… - Ageing research …, 2021 -   CCF none","Aging in COVID-19: Vulnerability, immunity and interventions"
"S Clusella-Trullas, RA Garcia, JS Terblanche… - Trends in Ecology & …, 2021 - cell.com",How useful are thermal vulnerability indices?CCF none
"S Eriksen, ELF Schipper, M Scoville-Simonds… - World …, 2021 - ?CCF none","[HTML] Adaptation interventions and their effect on vulnerability in developing countries: Help, hindrance or irrelevance"
"M Fu, C Tantithamthavorn - … of the 19th International Conference on …, 2022 - dl.acm.org",Linevul: A transformer-based line-level vulnerability predictionCCF C
"K Dong, Y Liu, J Wang, X Dong - Ecological Economics, 2024 - ",Is the digital economy an effective tool for decreasing energy vulnerability? A global caseCCF none
"Y Liu, K Dong, Q Jiang - Energy Economics, 2023 - ",Assessing energy vulnerability and its impact on carbon emissions: A global caseCCF none
"Y Li, S Wang, TN Nguyen - Proceedings of the 29th ACM Joint Meeting …, 2021 - dl.acm.org CCF A",Vulnerability detection with fine-grained interpretations
"K Dong, Q Jiang, Y Liu, Z Shen, M Vardanyan - World Development, 2024 - CCF none",Is energy aid allocated fairly? A global energy vulnerability perspective
"S Ruggieri, A Cardellicchio, V Leggieri, G Uva - Automation in Construction, 2021 - ",Machine-learning based vulnerability analysis of existing buildingsCCF none
"P Hellegers - Food security, 2022 - ",[HTML] Food security vulnerability due to trade dependencies on Russia and UkraineCCF none
"G Lei, L Zhuang, B Gan - Nature Reviews Cancer, 2022 - nature.com CCF none",Targeting ferroptosis as a vulnerability in cancer
"E Tate, MA Rahman, CT Emrich, CC Sampson - Natural Hazards, 2021 - ",[HTML] Flood exposure and social vulnerability in the United StatesCCF none
"J Birkmann, A Jamshed, JM McMillan… - Science of The Total …, 2022 - ",[HTML] Understanding human vulnerability to climate change: A global perspective on index validation for adaptation planningCCF none
