Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"Seunghoon Woo, Hyunji Hong, Eunjin Choi, Heejo Lee","MOVERY: A Precise Approach for Modified Vulnerable Code Clone Discovery from Modified Open-Source Software Components",2022,"","","","",1,"2024-06-21 14:49:30","","","","",,,,,9,4.50,2,4,2,"Vulnerabilities inherited from third-party open-source software (OSS) components can compromise the entire software security. However, discovering propagated vulnerable code is challenging as it proliferates with various code syntaxes owing to the OSS modifications, more specifically, internal ( e . g ., OSS updates) and external modifications of OSS ( e . g ., code changes that occur during the OSS reuse). In this paper, we present M OVERY , a precise approach for discovering vulnerable code clones (VCCs) from modified OSS components. By considering the oldest vulnerable function and extracting only core vulnerable and patch lines from security patches, M OVERY generates vulnerability and patch signatures that effectively address OSS modifications. For scalability, M OVERY reduces the search space of the target software by focusing only on the codes borrowed from other OSS projects. Finally, M OVERY determines that the function is VCC when it matches the vulnerability signature and is distinctive from the patch signature. When","",""
286,"Seulbae Kim, Seunghoon Woo, Heejo Lee, Hakjoo Oh","VUDDY: A Scalable Approach for Vulnerable Code Clone Discovery",2017,"","","","",2,"2024-06-21 14:49:30","","10.1109/SP.2017.62","","",,,,,286,40.86,72,4,7,"The ecosystem of open source software (OSS) has been growing considerably in size. In addition, code clones - code fragments that are copied and pasted within or between software systems - are also proliferating. Although code cloning may expedite the process of software development, it often critically affects the security of software because vulnerabilities and bugs can easily be propagated through code clones. These vulnerable code clones are increasing in conjunction with the growth of OSS, potentially contaminating many systems. Although researchers have attempted to detect code clones for decades, most of these attempts fail to scale to the size of the ever-growing OSS code base. The lack of scalability prevents software developers from readily managing code clones and associated vulnerabilities. Moreover, most existing clone detection techniques focus overly on merely detecting clones and this impairs their ability to accurately find ""vulnerable"" clones. In this paper, we propose VUDDY, an approach for the scalable detection of vulnerable code clones, which is capable of detecting security vulnerabilities in large software programs efficiently and accurately. Its extreme scalability is achieved by leveraging function-level granularity and a length-filtering technique that reduces the number of signature comparisons. This efficient design enables VUDDY to preprocess a billion lines of code in 14 hour and 17 minutes, after which it requires a few seconds to identify code clones. In addition, we designed a security-aware abstraction technique that renders VUDDY resilient to common modifications in cloned code, while preserving the vulnerable conditions even after the abstraction is applied. This extends the scope of VUDDY to identifying variants of known vulnerabilities, with high accuracy. In this study, we describe its principles and evaluate its efficacy and effectiveness by comparing it with existing mechanisms and presenting the vulnerabilities it detected. VUDDY outperformed four state-of-the-art code clone detection techniques in terms of both scalability and accuracy, and proved its effectiveness by detecting zero-day vulnerabilities in widely used software systems, such as Apache HTTPD and Ubuntu OS Distribution.","",""
142,"Guanjun Lin, Jun Zhang, Wei Luo, Lei Pan, Yang Xiang, O. De Vel, Paul Montague","Cross-Project Transfer Representation Learning for Vulnerable Function Discovery",2018,"","","","",3,"2024-06-21 14:49:30","","10.1109/TII.2018.2821768","","",,,,,142,23.67,20,7,6,"Machine learning is now widely used to detect security vulnerabilities in the software, even before the software is released. But its potential is often severely compromised at the early stage of a software project when we face a shortage of high-quality training data and have to rely on overly generic hand-crafted features. This paper addresses this cold-start problem of machine learning, by learning rich features that generalize across similar projects. To reach an optimal balance between feature-richness and generalizability, we devise a data-driven method including the following innovative ideas. First, the code semantics are revealed through serialized abstract syntax trees (ASTs), with tokens encoded by Continuous Bag-of-Words neural embeddings. Next, the serialized ASTs are fed to a sequential deep learning classifier (Bi-LSTM) to obtain a representation indicative of software vulnerability. Finally, the neural representation obtained from existing software projects is then transferred to the new project to enable early vulnerability detection even with a small set of training labels. To validate this vulnerability detection approach, we manually labeled 457 vulnerable functions and collected 30 000+ nonvulnerable functions from six open-source projects. The empirical results confirmed that the trained model is capable of generating representations that are indicative of program vulnerability and is adaptable across multiple projects. Compared with the traditional code metrics, our transfer-learned representations are more effective for predicting vulnerable functions, both within a project and across multiple projects.","",""
47,"Chaoshun Zuo, Qingchuan Zhao, Zhiqiang Lin","AUTHSCOPE: Towards Automatic Discovery of Vulnerable Authorizations in Online Services",2017,"","","","",4,"2024-06-21 14:49:30","","10.1145/3133956.3134089","","",,,,,47,6.71,16,3,7,"When accessing online private resources (e.g., user profiles, photos, shopping carts) from a client (e.g., a desktop web-browser or a mobile app), the service providers must implement proper access control, which typically involves both authentication and authorization. However, not all of the service providers follow the best practice, resulting in various access control vulnerabilities. To understand such a threat in a large scale, and identify the vulnerable access control implementations in online services, this paper introduces AuthScope, a tool that is able to automatically execute a mobile app and pinpoint the vulnerable access control implementations, particularly the vulnerable authorizations, in the corresponding online service. The key idea is to use differential traffic analysis to recognize the protocol fields and then automatically substitute the fields and observe the server response. One of the key challenges for a large scale study lies in how to obtain the post-authentication request-and-response messages for a given app. We have thus developed a targeted dynamic activity explorer to perform an in-context analysis and drive the app execution to automatically log in the service. We have tested AuthScope with 4,838 popular mobile apps from Google Play, and identified 597 0-day vulnerable authorizations that map to 306 apps.","",""
18,"Hwankuk Kim, Taeeun Kim, Dae-il Jang","An Intelligent Improvement of Internet-Wide Scan Engine for Fast Discovery of Vulnerable IoT Devices",2018,"","","","",5,"2024-06-21 14:49:30","","10.3390/sym10050151","","",,,,,18,3.00,6,3,6,"Since 2016, Mirai and Persirai malware have infected hundreds of thousands of Internet of Things (IoT) devices and created a massive IoT botnet, which caused distributed denial of service (DDoS) attacks. IoT malware targets vulnerable IoT devices, which are vulnerable to security risks. Techniques are needed to prevent IoT devices from being exploited by attackers. However, unlike high-performance PCs, IoT devices are lightweight, low-power, and low-cost, having performance limitations regarding processing and memory, which makes it difficult to install security and anti-malware programs. Recently, several studies have been attempted to quickly search for vulnerable internet-connected devices to solve this real issue. Issues yet to be studied still exist regarding these types of internet-wide scan technologies, such as filtering by security devices and a shortage of collected operating system (OS) information. This paper proposes an intelligent internet-wide scan model that improves IP state scanning with advanced internet protocol (IP) randomization, reactive protocol (port) scanning, and OS fingerprinting scanning, applying k* algorithm in order to find vulnerable IoT devices. Additionally, we describe the experiment’s results compared to the existing internet-wide scan technologies, such as ZMap and Shodan. As a result, the proposed model experimentally shows improved performance. Although we improved the ZMap, the throughput per minute (TPM) performance is similar to ZMap without degrading the IP scan throughput and the performance of generating a single IP address is about 118% better than ZMap. In the protocol scan performance experiments, it is about 129% better than the Censys based ZMap, and the performance of OS fingerprinting is better than ZMap, with about 50% accuracy.","",""
29,"Fan Yao, Yongbo Li, Yurong Chen, Hongfa Xue, Tian Lan, Guru Venkataramani","StatSym: Vulnerable Path Discovery through Statistics-Guided Symbolic Execution",2017,"","","","",6,"2024-06-21 14:49:30","","10.1109/DSN.2017.57","","",,,,,29,4.14,5,6,7,"Identifying vulnerabilities in software systems is crucial to minimizing the damages that result from malicious exploits and software failures. This often requires proper identification of vulnerable execution paths that contain program vulnerabilities or bugs. However, with rapid rise in software complexity, it has become notoriously difficult to identify such vulnerable paths through exhaustively searching the entire program execution space. In this paper, we propose StatSym, a novel, automated Statistics-Guided Symbolic Execution framework that integrates the swiftness of statistical inference and the rigorousness of symbolic execution techniques to achieve precision, agility and scalability in vulnerable program path discovery. Our solution first leverages statistical analysis of program runtime information to construct predicates that are indicative of potential vulnerability in programs. These statistically identified paths, along with the associated predicates, effectively drive a symbolic execution engine to verify the presence of vulnerable paths and reduce their time to solution. We evaluate StatSym on four real-world applications including polymorph, CTree, Grep and thttpd that come from diverse domains. Results show that StatSym is able to assist the symbolic executor, KLEE, in identifying the vulnerable paths for all of the four cases, whereas pure symbolic execution fails in three out of four applications due to memory space overrun.","",""
1162,"Mengyuan Dai, Dianbo Liu, Miao Liu, F. Zhou, Guiling Li, Zhen Chen, Zhi-An Zhang, Hua You, Meng Wu, Qichao Zheng, Yong Xiong, H. Xiong, Chun Wang, Changchun Chen, F. Xiong, Yan Zhang, Yaqin Peng, S. Ge, Bo Zhen, Tingting Yu, Ling Wang, Hua Wang, Yu Liu, Yeshan Chen, Jun-hua Mei, Xiaojia Gao, Zhuyan Li, Lijuan Gan, Can He, Zhen Li, Yuying Shi, Y. Qi, Jing Yang, D. Tenen, L. Chai, L. Mucci, M. Santillana, Hongbing Cai","Patients with Cancer Appear More Vulnerable to SARS-CoV-2: A Multicenter Study during the COVID-19 Outbreak",2020,"","","","",7,"2024-06-21 14:49:30","","10.1158/2159-8290.CD-20-0422","","",,,,,1162,290.50,116,38,4,"In a study of 105 patients with cancer and 536 without, all with confirmed COVID-19, cancer was predictive of more severe disease, with stage IV cancer, hematologic cancer, and lung cancer being associated with worse outcomes.","",""
27,"J. Kitching","Between vulnerable compliance and confident ignorance: Small employers, regulatory discovery practices and external support networks",2016,"","","","",8,"2024-06-21 14:49:30","","10.1177/0266242615569325","","",,,,,27,3.38,27,1,8,"This article investigates how, under what circumstances and with what consequences small employers take action to discover their regulatory obligations to employees. It complements and builds on existing research by switching the focus from substantive adaptations by employers to employment law to the prior issue of discovering regulatory requirements. This article contributes to the literature on small firms and regulation in several ways. First, employer discovery of regulatory obligations is profoundly shaped through social interaction with external support networks. Family and friends with human resource management (HRM)/legal expertise often play a crucial role in regulatory discovery. Second, regulatory discovery practices are influenced by the broader business contexts and, in particular, the incidence of HRM problems that leave employers exposed to the risk of litigation if handled badly. Third, the burden of discovering regulation is a dynamic phenomenon, fluctuating over time, rather than a stable, permanent condition.","",""
32,"K. Linka, S. S. Pierre, E. Kuhl","Automated model discovery for human brain using Constitutive Artificial Neural Networks",2022,"","","","",9,"2024-06-21 14:49:30","","10.1101/2022.11.08.515656","","",,,,,32,16.00,11,3,2,"The brain is our softest and most vulnerable organ, and understanding its physics is a challenging but significant task. Massive efforts have been dedicated at testing the human brain, and various competing models have emerged to characterize its response to mechanical loading. However, selecting the best constitutive model remains a heuristic process that strongly depends on user experience and personal preference. Here we challenge the conventional wisdom to first select a constitutive model and then fit its parameters to experimental data. Instead, we propose a new strategy that simultaneously discovers both model and parameters that best describe the data. Towards this goal, we integrate more than a century of knowledge in thermodynamics and state-of-the-art machine learning to build a family of Constitutive Artificial Neural Networks that enable automated model discovery for human brain tissue. Our overall design paradigm is to reverse engineer a Constitutive Artificial Neural Network from a set of functional building blocks that are, by design, a generalization of widely used and commonly accepted constitutive models, including the neo Hooke, Blatz Ko, Mooney Rivlin, Demiray, Gent, and Holzapfel models. By constraining the input, output, activation functions, and architecture, our network a priori satisfies thermodynamic consistency, material objectivity, material symmetry, physical constrains, and polyconvexity. We demonstrate that our network autonomously discovers both model and parameters that best characterize the behavior of human gray and white matter under tension, compression, and shear. Importantly, our network weights translate naturally into physically meaningful material parameters, e.g., shear moduli of 1.82kPa, 0.88kPa, 0.94kPa, and 0.54kPa for the cortex, basal ganglia, corona radiata, and corpus callosum. Our results suggest that Constitutive Artificial Neural Networks have the potential to induce a paradigm shift in soft tissue modeling, from user-defined model selection to automated model discovery. Our source code, data, and examples are available at https://github.com/LivingMatterLab/CANN.","",""
26,"Xue Yuan, Guanjun Lin, Yonghang Tai, Jun Zhang","Deep Neural Embedding for Software Vulnerability Discovery: Comparison and Optimization",2022,"","","","",10,"2024-06-21 14:49:30","","10.1155/2022/5203217","","",,,,,26,13.00,7,4,2,"Due to multitudinous vulnerabilities in sophisticated software programs, the detection performance of existing approaches requires further improvement. Multiple vulnerability detection approaches have been proposed to aid code inspection. Among them, there is a line of approaches that apply deep learning (DL) techniques and achieve promising results. This paper attempts to utilize CodeBERT which is a deep contextualized model as an embedding solution to facilitate the detection of vulnerabilities in C open-source projects. The application of CodeBERT for code analysis allows the rich and latent patterns within software code to be revealed, having the potential to facilitate various downstream tasks such as the detection of software vulnerability. CodeBERT inherits the architecture of BERT, providing a stacked encoder of transformer in a bidirectional structure. This facilitates the learning of vulnerable code patterns which requires long-range dependency analysis. Additionally, the multihead attention mechanism of transformer enables multiple key variables of a data flow to be focused, which is crucial for analyzing and tracing potentially vulnerable data flaws, eventually, resulting in optimized detection performance. To evaluate the effectiveness of the proposed CodeBERT-based embedding solution, four mainstream-embedding methods are compared for generating software code embeddings, including Word2Vec, GloVe, and FastText. Experimental results show that CodeBERT-based embedding outperforms other embedding models on the downstream vulnerability detection tasks. To further boost performance, we proposed to include synthetic vulnerable functions and perform synthetic and real-world data fine tuning to facilitate the model learning of C-related vulnerable code patterns. Meanwhile, we explored the suitable configuration of CodeBERT. The evaluation results show that the model with new parameters outperform some state-of-the-art detection methods in our dataset.","",""
