Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1967,"Xin Zou, Ke Chen, Jiawei Zou, Pei-jun Han, Jie Hao, Ze-Guang Han","Single-cell RNA-seq data analysis on the receptor ACE2 expression reveals the potential risk of different human organs vulnerable to 2019-nCoV infection",2020,"","","","",1,"2024-06-21 14:48:46","","10.1007/s11684-020-0754-0","","",,,,,1967,491.75,328,6,4,"","",""
612,"R. Ravindrane, H. Wardle, J. Patel, F. Nielsen, AA Badiani, S. Assi, V. Unadkat, H. Wardle","Poverty, inequality and COVID-19: the forgotten vulnerable",2020,"","","","",2,"2024-06-21 14:48:46","","10.1016/j.puhe.2020.05.006","","",,,,,612,153.00,77,8,4,"","",""
989,"M. Hangauer, V. Viswanathan, M. Ryan, Dhruv Bole, J. Eaton, A. Matov, Jacqueline Galeas, Harshil Dhruv, M. Berens, S. Schreiber, F. McCormick, Michael T. McManus","Abstract 1006: Drug-tolerant persister cancer cells are vulnerable to GPX4 inhibition",2017,"","","","",3,"2024-06-21 14:48:46","","10.1158/1538-7445.AM2017-1006","","",,,,,989,141.29,99,12,7,"Acquired drug resistance prevents chemotherapy and targeted therapy from achieving stable and complete responses. Emerging evidence implicates a key role for nonmutational mechanisms during early stages of acquired drug resistance. Drug-tolerant “persister” cells are a model of nonmutational cancer drug resistance in which small fractions ( Citation Format: Matthew J. Hangauer, Vasanthi S. Viswanathan, Matthew J. Ryan, Dhruv Bole, Jake Eaton, Stuart L. Schreiber, Frank McCormick, McManus T. Michael. Drug-tolerant persister cancer cells are vulnerable to GPX4 inhibition [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2017; 2017 Apr 1-5; Washington, DC. Philadelphia (PA): AACR; Cancer Res 2017;77(13 Suppl):Abstract nr 1006. doi:10.1158/1538-7445.AM2017-1006","",""
3034,"M. Naghavi, P. Libby, E. Falk, S. Casscells, S. Litovsky, J. Rumberger, J. Badimón, C. Stefanadis, P. Moreno, G. Pasterkamp, Z. Fayad, P. Stone, S. Waxman, P. Raggi, M. Madjid, Alireza Zarrabi, A. Burke, C. Yuan, P. Fitzgerald, D. Siscovick, C. D. de Korte, M. Aikawa, K. J. Juhani Airaksinen, G. Assmann, C. Becker, J. Chesebro, A. Farb, Z. Galis, C. Jackson, I. Jang, W. Koenig, R. Lodder, K. March, J. Demirovic, M. Navab, S. Priori, M. Rekhter, R. Bahr, S. Grundy, R. Mehran, A. Colombo, E. Boerwinkle, C. Ballantyne, W. Insull, R. Schwartz, R. Vogel, P. Serruys, G. Hansson, D. Faxon, S. Kaul, H. Drexler, P. Greenland, J. Muller, R. Virmani, P. Ridker, D. Zipes, P. Shah, J. Willerson","From vulnerable plaque to vulnerable patient: a call for new definitions and risk assessment strategies: Part I.",2003,"","","","",4,"2024-06-21 14:48:46","","10.1161/01.CIR.0000087480.94275.97","","",,,,,3034,144.48,303,58,21,"Atherosclerotic cardiovascular disease results in >19 million deaths annually, and coronary heart disease accounts for the majority of this toll. Despite major advances in treatment of coronary heart disease patients, a large number of victims of the disease who are apparently healthy die suddenly without prior symptoms. Available screening and diagnostic methods are insufficient to identify the victims before the event occurs. The recognition of the role of the vulnerable plaque has opened new avenues of opportunity in the field of cardiovascular medicine. This consensus document concludes the following. (1) Rupture-prone plaques are not the only vulnerable plaques. All types of atherosclerotic plaques with high likelihood of thrombotic complications and rapid progression should be considered as vulnerable plaques. We propose a classification for clinical as well as pathological evaluation of vulnerable plaques. (2) Vulnerable plaques are not the only culprit factors for the development of acute coronary syndromes, myocardial infarction, and sudden cardiac death. Vulnerable blood (prone to thrombosis) and vulnerable myocardium (prone to fatal arrhythmia) play an important role in the outcome. Therefore, the term ""vulnerable patient"" may be more appropriate and is proposed now for the identification of subjects with high likelihood of developing cardiac events in the near future. (3) A quantitative method for cumulative risk assessment of vulnerable patients needs to be developed that may include variables based on plaque, blood, and myocardial vulnerability. In Part I of this consensus document, we cover the new definition of vulnerable plaque and its relationship with vulnerable patients. Part II of this consensus document focuses on vulnerable blood and vulnerable myocardium and provide an outline of overall risk assessment of vulnerable patients. Parts I and II are meant to provide a general consensus and overviews the new field of vulnerable patient. Recently developed assays (eg, C-reactive protein), imaging techniques (eg, CT and MRI), noninvasive electrophysiological tests (for vulnerable myocardium), and emerging catheters (to localize and characterize vulnerable plaque) in combination with future genomic and proteomic techniques will guide us in the search for vulnerable patients. It will also lead to the development and deployment of new therapies and ultimately to reduce the incidence of acute coronary syndromes and sudden cardiac death. We encourage healthcare policy makers to promote translational research for screening and treatment of vulnerable patients.","",""
236,"K. Leng, E. Li, R. Eser, A. Piergies, R. Sit, Michelle Tan, N. Neff, S. Li, R. Rodriguez, C. Suemoto, R. Leite, A. Ehrenberg, C. Pasqualucci, W. Seeley, S. Spina, H. Heinsen, L. Grinberg, M. Kampmann","Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease",2020,"","","","",5,"2024-06-21 14:48:46","","10.1038/s41593-020-00764-7","","",,,,,236,59.00,24,18,4,"","",""
631,"Nancy J. Brule, J. Eckstein, M. Allen","The SAGE Encyclopedia of Communication Research Methods Vulnerable Groups",2017,"","","","",6,"2024-06-21 14:48:46","","","","",,,,,631,90.14,210,3,7,"","",""
79,"Daniel Perez, B. Livshits","Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited",2021,"","","","",7,"2024-06-21 14:48:46","","","","",,,,,79,26.33,40,2,3,"In recent years, we have seen a great deal of both academic and practical interest in the topic of vulnerabilities in smart contracts, particularly those developed for the Ethereum blockchain. While most of the work has focused on detecting vulnerable contracts, in this paper, we focus on ﬁnding how many of these vulnerable contracts have actually been exploited . We survey the 23,327 vulnerable contracts reported by six recent academic projects and ﬁnd that, despite the amounts at stake, only 1.98% of them have been exploited since deployment. This corresponds to at most 8,487 ETH (~1.7 million USD 1 ), or only 0.27% of the 3 million ETH (600 million USD) at stake. We explain these results by demonstrating that the funds are very concentrated in a small number of contracts which are not exploitable in practice.","",""
485,"Tobias Adrian, Nina Boyarchenko, Domenico Giannone","Vulnerable Growth",2016,"","","","",8,"2024-06-21 14:48:46","","10.1257/aer.20161923","","",,,,,485,60.63,162,3,8,"We study the conditional distribution of GDP growth as a function of economic and financial conditions. Deteriorating financial conditions are associated with an increase in the conditional volatility and a decline in the conditional mean of GDP growth, leading the lower quantiles of GDP growth to vary with financial conditions and the upper quantiles to be stable over time. Upside risks to GDP growth are low in most periods while downside risks increase as financial conditions become tighter. We argue that amplification mechanisms in the financial sector generate the observed growth vulnerability dynamics. (JEL C53, E23, E27, E32, E44)","",""
143,"Rachel Silliman Cohen, E. Bosk","Vulnerable Youth and the COVID-19 Pandemic",2020,"","","","",9,"2024-06-21 14:48:46","","10.1542/peds.2020-1306","","",,,,,143,35.75,72,2,4,"* Abbreviations:  COVID-19 — : coronavirus disease of 2019  LGBTQ — : lesbian, gay, bisexual, transgender, queer, and/or questioning  Vulnerable pediatric populations (including youth who are lesbian, gay, bisexual, transgender, queer, and/or questioning [LGBTQ]; homeless; maltreated; in foster care; and struggling with substance use disorders) warrant particular consideration during the coronavirus disease of 2019 (COVID-19) pandemic. It is likely that stay-at-home orders, combined with increased economic instability and family pressures, will increase their risks for harm and, in some cases, may make it untenable (and potentially dangerous) for them to shelter in place. Simultaneously, safety nets that protect youth (child protective services, medical and mental health providers, and educators) have fewer staff available or are inaccessible because of the COVID-19 crisis. These conditions highlight how morbidity and mortality in vulnerable pediatric populations will likely extend beyond the pandemic itself.  For some children and youth, home can be isolating and, in some cases, dangerous. Adverse childhood experiences, including physical abuse, sexual abuse, and neglect, are common, with an estimated 678 000 children and adolescents experiencing maltreatment in 2018, and young children are at highest risk for serious harm.1 These risks increase for specific populations. Indeed, LGBTQ and gender nonconforming youth (up to 16% of all youth) are at far higher risk of experiencing physical and sexual abuse, with the level of gender nonconformity predictive of …   Address correspondence to Rachel I. Silliman Cohen, MD, Child Abuse Research Education and Service Institute, School of Osteopathic Medicine, Rowan University, 42 E Laurel Rd, Stratford, NJ 08084. E-mail: sillimancohen{at}rowan.edu","",""
104,"M. Tomaniak, Y. Katagiri, R. Modolo, R. de Silva, R. Khamis, C. Bourantas, R. Torii, J. Wentzel, F. Gijsen, G. van Soest, P. Stone, N. West, A. Maehara, A. Lerman, A. V. D. van der Steen, T. Lüscher, R. Virmani, W. Koenig, G. Stone, J. Muller, W. Wijns, P. Serruys, Y. Onuma","Vulnerable plaques and patients: state-of-the-art.",2020,"","","","",10,"2024-06-21 14:48:46","","10.1093/eurheartj/ehaa227","","",,,,,104,26.00,10,23,4,"Despite advanced understanding of the biology of atherosclerosis, coronary heart disease remains the leading cause of death worldwide. Progress has been challenging as half of the individuals who suffer sudden cardiac death do not experience premonitory symptoms. Furthermore, it is well-recognized that also a plaque that does not cause a haemodynamically significant stenosis can trigger a sudden cardiac event, yet the majority of ruptured or eroded plaques remain clinically silent. In the past 30 years since the term 'vulnerable plaque' was introduced, there have been major advances in the understanding of plaque pathogenesis and pathophysiology, shifting from pursuing features of 'vulnerability' of a specific lesion to the more comprehensive goal of identifying patient 'cardiovascular vulnerability'. It has been also recognized that aside a thin-capped, lipid-rich plaque associated with plaque rupture, acute coronary syndromes (ACS) are also caused by plaque erosion underlying between 25% and 60% of ACS nowadays, by calcified nodule or by functional coronary alterations. While there have been advances in preventive strategies and in pharmacotherapy, with improved agents to reduce cholesterol, thrombosis, and inflammation, events continue to occur in patients receiving optimal medical treatment. Although at present the positive predictive value of imaging precursors of the culprit plaques remains too low for clinical relevance, improving coronary plaque imaging may be instrumental in guiding pharmacotherapy intensity and could facilitate optimal allocation of novel, more aggressive, and costly treatment strategies. Recent technical and diagnostic advances justify continuation of interdisciplinary research efforts to improve cardiovascular prognosis by both systemic and 'local' diagnostics and therapies. The present state-of-the-art document aims to present and critically appraise the latest evidence, developments, and future perspectives in detection, prevention, and treatment of 'high-risk' plaques occurring in 'vulnerable' patients.","",""
