tokenizer,budget,baseline_tokens,compressed_tokens,ratio,reduction_pct,ast_savings,lex_savings,n_syntax_ops,n_lexical_ops,num_files
gpt4,20,1531697,1493883,0.975312,2.47,13298,24516,15,5,1000
gpt4,50,1531697,1481828,0.967442,3.26,17754,32115,34,16,1000
gpt4,100,1531697,1470152,0.959819,4.02,20899,40646,60,40,1000
gpt4,200,1531697,1456124,0.950661,4.93,23805,51768,105,95,1000
gpt4,500,1531697,1441385,0.941038,5.90,29071,61241,300,200,1000
gpt4,1000,1531697,1436696,0.937977,6.20,33760,61241,800,200,1000
codegen-350M-mono,20,2005485,1959492,0.977066,2.29,13975,32018,12,8,1000
codegen-350M-mono,50,2005485,1943274,0.968980,3.10,18914,43297,28,22,1000
codegen-350M-mono,100,2005485,1926800,0.960765,3.92,22009,56676,48,52,1000
codegen-350M-mono,200,2005485,1909634,0.952206,4.78,25531,70320,92,108,1000
codegen-350M-mono,500,2005485,1879944,0.937401,6.26,31055,94486,230,270,1000
codegen-350M-mono,1000,2005485,1864479,0.929690,7.03,36504,104502,600,400,1000
santacoder,20,1766492,1725432,0.976756,2.32,12432,28628,13,7,1000
santacoder,50,1766492,1708219,0.967012,3.30,16875,41398,28,22,1000
santacoder,100,1766492,1694904,0.959474,4.05,20220,51368,51,49,1000
santacoder,200,1766492,1677161,0.949430,5.06,23257,66074,91,109,1000
santacoder,500,1766492,1650500,0.934338,6.57,27999,87993,219,281,1000
santacoder,1000,1766492,1636129,0.926202,7.38,33129,97234,600,400,1000
